"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-1016","Oil Products: Imports","Oil Products",2574,
"highcharts-q5740kz-1017","Electricity: Primary Production","Other Electricity & Heat",15,
"highcharts-q5740kz-1018","BioFuels: Primary Production","BioFuels",25,
"highcharts-q5740kz-1019","BioFuels","Other Transformation",10,
"highcharts-q5740kz-1020","Oil Products","Oil: Supplied",2574,
"highcharts-q5740kz-1021","Other Electricity & Heat","Other Electricity & Heat 3",15,
"highcharts-q5740kz-1022","BioFuels","BioFuels: Supplied",15,
"highcharts-q5740kz-1023","Oil: Supplied","PowerStations",826,
"highcharts-q5740kz-1024","PowerStations","Electricity & Heat: Supplied",233,
"highcharts-q5740kz-1025","Other Electricity & Heat 3","Electricity & Heat: Supplied",15,
"highcharts-q5740kz-1026","Oil: Supplied","Oil: Final Consumption",1312,
"highcharts-q5740kz-1027","Oil: Supplied","Bunkers",437,
"highcharts-q5740kz-1028","Electricity & Heat: Supplied","Own Use",9,
"highcharts-q5740kz-1029","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",166,
"highcharts-q5740kz-1030","BioFuels: Supplied","BioFuels: Final Consumption",15,
"highcharts-q5740kz-1031","Electricity & Heat: Supplied","Losses",74,"#808080"
"highcharts-q5740kz-1032","PowerStations","Transformation Losses",592,"#808080"
"highcharts-q5740kz-1033","Oil: Final Consumption","Transport",1175,
"highcharts-q5740kz-1034","Oil: Final Consumption","N.E.S",45,
"highcharts-q5740kz-1035","Oil: Final Consumption","Non-Energy use",92,
"highcharts-q5740kz-1036","Electricity & Heat: Final Consumption","Manufacturing",53,
"highcharts-q5740kz-1037","Electricity & Heat: Final Consumption","Households",61,
"highcharts-q5740kz-1038","Electricity & Heat: Final Consumption","Commerce",52,
"highcharts-q5740kz-1039","BioFuels: Final Consumption","Households",4,
"highcharts-q5740kz-1040","BioFuels: Final Consumption","N.E.S",11,
