"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2492","Oil Products: Imports","Oil Products",2050,
"highcharts-q5740kz-2493","Electricity: Primary Production","Other Electricity & Heat",23,
"highcharts-q5740kz-2494","BioFuels: Primary Production","BioFuels",19,
"highcharts-q5740kz-2495","BioFuels","Other Transformation",6,
"highcharts-q5740kz-2496","Oil Products","Oil: Supplied",2050,
"highcharts-q5740kz-2497","Stock Changes: Sec 2","Oil: Supplied",364,"#121212"
"highcharts-q5740kz-2498","Other Electricity & Heat","Other Electricity & Heat 3",23,
"highcharts-q5740kz-2499","BioFuels","BioFuels: Supplied",13,
"highcharts-q5740kz-2500","Oil: Supplied","PowerStations",602,
"highcharts-q5740kz-2501","PowerStations","Electricity & Heat: Supplied",231,
"highcharts-q5740kz-2502","Other Electricity & Heat 3","Electricity & Heat: Supplied",23,
"highcharts-q5740kz-2503","Oil: Supplied","Oil: Final Consumption",1637,
"highcharts-q5740kz-2504","Oil: Supplied","Bunkers",175,
"highcharts-q5740kz-2505","Electricity & Heat: Supplied","Own Use",7,
"highcharts-q5740kz-2506","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",226,
"highcharts-q5740kz-2507","BioFuels: Supplied","BioFuels: Final Consumption",12,
"highcharts-q5740kz-2508","Electricity & Heat: Supplied","Losses",21,"#808080"
"highcharts-q5740kz-2509","PowerStations","Transformation Losses",371,"#808080"
"highcharts-q5740kz-2510","Oil: Final Consumption","Transport",1523,
"highcharts-q5740kz-2511","Oil: Final Consumption","Households",104,
"highcharts-q5740kz-2512","Oil: Final Consumption","Non-Energy use",10,
"highcharts-q5740kz-2513","Electricity & Heat: Final Consumption","Households",81,
"highcharts-q5740kz-2514","Electricity & Heat: Final Consumption","Commerce",75,
"highcharts-q5740kz-2515","Electricity & Heat: Final Consumption","N.E.S",70,
"highcharts-q5740kz-2516","BioFuels: Final Consumption","Households",12,
