"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-684","Oil Products: Imports","Oil Products",12634,
"highcharts-q5740kz-685","Electricity: Primary Production","Other Electricity & Heat",716,
"highcharts-q5740kz-686","Heat: Primary Production","Other Electricity & Heat",80,
"highcharts-q5740kz-687","BioFuels: Primary Production","BioFuels",43,
"highcharts-q5740kz-688","BioFuels: Imports","BioFuels",7,
"highcharts-q5740kz-689","BioFuels","Other Transformation",14,
"highcharts-q5740kz-690","Oil Products","Oil: Supplied",12634,
"highcharts-q5740kz-691","Other Electricity & Heat","Other Electricity & Heat 3",796,
"highcharts-q5740kz-692","BioFuels","BioFuels: Supplied",36,
"highcharts-q5740kz-693","Oil: Supplied","PowerStations",4378,
"highcharts-q5740kz-694","PowerStations","Electricity & Heat: Supplied",1777,
"highcharts-q5740kz-695","Other Electricity & Heat 3","Electricity & Heat: Supplied",796,
"highcharts-q5740kz-696","Oil: Supplied","Oil: Final Consumption",7954,
"highcharts-q5740kz-697","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",2427,
"highcharts-q5740kz-698","BioFuels: Supplied","BioFuels: Final Consumption",36,
"highcharts-q5740kz-699","Oil: Supplied","Stock Changes: Sec",260,
"highcharts-q5740kz-700","Oil: Supplied","Statistical Diff: Secondary",43,
"highcharts-q5740kz-701","Electricity & Heat: Supplied","Losses",146,"#808080"
"highcharts-q5740kz-702","PowerStations","Transformation Losses",2601,"#808080"
"highcharts-q5740kz-703","Oil: Final Consumption","Transport",6906,
"highcharts-q5740kz-704","Oil: Final Consumption","Households",472,
"highcharts-q5740kz-705","Oil: Final Consumption","Agriculture",460,
"highcharts-q5740kz-706","Oil: Final Consumption","Non-Energy use",117,
"highcharts-q5740kz-707","Electricity & Heat: Final Consumption","Households",1371,
"highcharts-q5740kz-708","Electricity & Heat: Final Consumption","Commerce",1056,
"highcharts-q5740kz-709","BioFuels: Final Consumption","Households",36,
