"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-834","Oil Products: Imports","Oil Products",1048,
"highcharts-q5740kz-835","Electricity: Primary Production","Other Electricity & Heat",18,
"highcharts-q5740kz-836","BioFuels: Primary Production","BioFuels",545,
"highcharts-q5740kz-837","BioFuels","Other Transformation",11,
"highcharts-q5740kz-838","Oil Products","Oil: Supplied",1048,
"highcharts-q5740kz-839","Other Electricity & Heat","Other Electricity & Heat 3",18,
"highcharts-q5740kz-840","BioFuels","BioFuels: Supplied",534,
"highcharts-q5740kz-841","Oil: Supplied","PowerStations",305,
"highcharts-q5740kz-842","PowerStations","Electricity & Heat: Supplied",96,
"highcharts-q5740kz-843","Other Electricity & Heat 3","Electricity & Heat: Supplied",18,
"highcharts-q5740kz-844","Oil: Supplied","Oil: Final Consumption",715,
"highcharts-q5740kz-845","Oil: Supplied","Bunkers",27,
"highcharts-q5740kz-846","Electricity & Heat: Supplied","Own Use",5,
"highcharts-q5740kz-847","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",93,
"highcharts-q5740kz-848","BioFuels: Supplied","BioFuels: Final Consumption",534,
"highcharts-q5740kz-849","Electricity & Heat: Supplied","Losses",17,"#808080"
"highcharts-q5740kz-850","PowerStations","Transformation Losses",209,"#808080"
"highcharts-q5740kz-851","Oil: Final Consumption","Transport",449,
"highcharts-q5740kz-852","Oil: Final Consumption","Manufacturing",9,
"highcharts-q5740kz-853","Oil: Final Consumption","Households",102,
"highcharts-q5740kz-854","Oil: Final Consumption","Agriculture",119,
"highcharts-q5740kz-855","Oil: Final Consumption","Commerce",32,
"highcharts-q5740kz-856","Oil: Final Consumption","Non-Energy use",4,
"highcharts-q5740kz-857","Electricity & Heat: Final Consumption","Manufacturing",8,
"highcharts-q5740kz-858","Electricity & Heat: Final Consumption","Households",38,
"highcharts-q5740kz-859","Electricity & Heat: Final Consumption","Commerce",46,
"highcharts-q5740kz-860","BioFuels: Final Consumption","Households",534,
