"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2233","Oil Products: Imports","Oil Products",4462,
"highcharts-q5740kz-2234","Electricity: Primary Production","Other Electricity & Heat",168,
"highcharts-q5740kz-2235","Heat: Primary Production","Other Electricity & Heat",3,
"highcharts-q5740kz-2236","BioFuels: Primary Production","BioFuels",1466,
"highcharts-q5740kz-2237","BioFuels","Other Transformation",14,
"highcharts-q5740kz-2238","Oil Products","Oil: Supplied",4462,
"highcharts-q5740kz-2239","Statistical Diff: Sec 2","Oil: Supplied",2,"#121212"
"highcharts-q5740kz-2240","Other Electricity & Heat","Other Electricity & Heat 3",171,
"highcharts-q5740kz-2241","BioFuels","BioFuels: Supplied",1452,
"highcharts-q5740kz-2242","Oil: Supplied","PowerStations",989,
"highcharts-q5740kz-2243","PowerStations","Electricity & Heat: Supplied",387,
"highcharts-q5740kz-2244","Other Electricity & Heat 3","Electricity & Heat: Supplied",171,
"highcharts-q5740kz-2245","Oil: Supplied","Oil: Final Consumption",2656,
"highcharts-q5740kz-2246","Oil: Supplied","Bunkers",532,
"highcharts-q5740kz-2247","Electricity & Heat: Supplied","Own Use",1,
"highcharts-q5740kz-2248","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",501,
"highcharts-q5740kz-2249","BioFuels: Supplied","BioFuels: Final Consumption",1453,
"highcharts-q5740kz-2250","Oil: Supplied","Stock Changes: Sec",259,
"highcharts-q5740kz-2251","Electricity & Heat: Supplied","Statistical Diff: Secondary",2,
"highcharts-q5740kz-2252","Oil: Supplied","Exports: Secondary",29,
"highcharts-q5740kz-2253","Electricity & Heat: Supplied","Losses",54,"#808080"
"highcharts-q5740kz-2254","PowerStations","Transformation Losses",602,"#808080"
"highcharts-q5740kz-2255","Oil: Final Consumption","Transport",1966,
"highcharts-q5740kz-2256","Oil: Final Consumption","Manufacturing",215,
"highcharts-q5740kz-2257","Oil: Final Consumption","Households",140,
"highcharts-q5740kz-2258","Oil: Final Consumption","Agriculture",35,
"highcharts-q5740kz-2259","Oil: Final Consumption","Commerce",179,
"highcharts-q5740kz-2260","Oil: Final Consumption","Non-Energy use",121,
"highcharts-q5740kz-2261","Electricity & Heat: Final Consumption","Manufacturing",39,
"highcharts-q5740kz-2262","Electricity & Heat: Final Consumption","Households",162,
"highcharts-q5740kz-2263","Electricity & Heat: Final Consumption","Commerce",300,
"highcharts-q5740kz-2264","BioFuels: Final Consumption","Households",1448,
"highcharts-q5740kz-2265","BioFuels: Final Consumption","Agriculture",5,
