"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-1074","Oil Products: Imports","Oil Products",2545,
"highcharts-q5740kz-1075","Electricity: Primary Production","Other Electricity & Heat",7,
"highcharts-q5740kz-1076","BioFuels: Primary Production","BioFuels",24,
"highcharts-q5740kz-1077","BioFuels","Other Transformation",10,
"highcharts-q5740kz-1078","Oil Products","Oil: Supplied",2545,
"highcharts-q5740kz-1079","Other Electricity & Heat","Other Electricity & Heat 3",7,
"highcharts-q5740kz-1080","BioFuels","BioFuels: Supplied",14,
"highcharts-q5740kz-1081","Oil: Supplied","PowerStations",830,
"highcharts-q5740kz-1082","PowerStations","Electricity & Heat: Supplied",235,
"highcharts-q5740kz-1083","Other Electricity & Heat 3","Electricity & Heat: Supplied",7,
"highcharts-q5740kz-1084","Oil: Supplied","Oil: Final Consumption",1289,
"highcharts-q5740kz-1085","Oil: Supplied","Bunkers",427,
"highcharts-q5740kz-1086","Electricity & Heat: Supplied","Own Use",8,
"highcharts-q5740kz-1087","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",164,
"highcharts-q5740kz-1088","BioFuels: Supplied","BioFuels: Final Consumption",15,
"highcharts-q5740kz-1089","Electricity & Heat: Supplied","Losses",70,"#808080"
"highcharts-q5740kz-1090","PowerStations","Transformation Losses",595,"#808080"
"highcharts-q5740kz-1091","Oil: Final Consumption","Transport",1152,
"highcharts-q5740kz-1092","Oil: Final Consumption","N.E.S",45,
"highcharts-q5740kz-1093","Oil: Final Consumption","Non-Energy use",92,
"highcharts-q5740kz-1094","Electricity & Heat: Final Consumption","Manufacturing",53,
"highcharts-q5740kz-1095","Electricity & Heat: Final Consumption","Households",59,
"highcharts-q5740kz-1096","Electricity & Heat: Final Consumption","Commerce",52,
"highcharts-q5740kz-1097","BioFuels: Final Consumption","Households",4,
"highcharts-q5740kz-1098","BioFuels: Final Consumption","N.E.S",11,
