"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-896","Oil Products: Imports","Oil Products",1035,
"highcharts-q5740kz-897","Electricity: Primary Production","Other Electricity & Heat",17,
"highcharts-q5740kz-898","BioFuels: Primary Production","BioFuels",540,
"highcharts-q5740kz-899","BioFuels: Imports","BioFuels",1,
"highcharts-q5740kz-900","BioFuels","Other Transformation",10,
"highcharts-q5740kz-901","Oil Products","Oil: Supplied",1035,
"highcharts-q5740kz-902","Other Electricity & Heat","Other Electricity & Heat 3",17,
"highcharts-q5740kz-903","BioFuels","BioFuels: Supplied",531,
"highcharts-q5740kz-904","Oil: Supplied","PowerStations",301,
"highcharts-q5740kz-905","PowerStations","Electricity & Heat: Supplied",94,
"highcharts-q5740kz-906","Other Electricity & Heat 3","Electricity & Heat: Supplied",17,
"highcharts-q5740kz-907","Oil: Supplied","Oil: Final Consumption",707,
"highcharts-q5740kz-908","Oil: Supplied","Bunkers",26,
"highcharts-q5740kz-909","Electricity & Heat: Supplied","Own Use",5,
"highcharts-q5740kz-910","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",90,
"highcharts-q5740kz-911","BioFuels: Supplied","BioFuels: Final Consumption",531,
"highcharts-q5740kz-912","Electricity & Heat: Supplied","Losses",16,"#808080"
"highcharts-q5740kz-913","PowerStations","Transformation Losses",207,"#808080"
"highcharts-q5740kz-914","Oil: Final Consumption","Transport",438,
"highcharts-q5740kz-915","Oil: Final Consumption","Manufacturing",9,
"highcharts-q5740kz-916","Oil: Final Consumption","Households",106,
"highcharts-q5740kz-917","Oil: Final Consumption","Agriculture",116,
"highcharts-q5740kz-918","Oil: Final Consumption","Commerce",35,
"highcharts-q5740kz-919","Oil: Final Consumption","Non-Energy use",4,
"highcharts-q5740kz-920","Electricity & Heat: Final Consumption","Manufacturing",8,
"highcharts-q5740kz-921","Electricity & Heat: Final Consumption","Households",35,
"highcharts-q5740kz-922","Electricity & Heat: Final Consumption","Commerce",44,
"highcharts-q5740kz-923","Electricity & Heat: Final Consumption","N.E.S",4,
"highcharts-q5740kz-924","BioFuels: Final Consumption","Households",531,
