"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2402","Oil Products: Imports","Oil Products",4535,
"highcharts-q5740kz-2403","Electricity: Primary Production","Other Electricity & Heat",15,
"highcharts-q5740kz-2404","BioFuels: Primary Production","BioFuels",3305,
"highcharts-q5740kz-2405","BioFuels","Other Transformation",37,
"highcharts-q5740kz-2406","Oil Products","Oil: Supplied",4535,
"highcharts-q5740kz-2407","Other Electricity & Heat","Other Electricity & Heat 3",15,
"highcharts-q5740kz-2408","BioFuels","BioFuels: Supplied",3268,
"highcharts-q5740kz-2409","Oil: Supplied","PowerStations",998,
"highcharts-q5740kz-2410","BioFuels: Supplied","PowerStations",48,
"highcharts-q5740kz-2411","PowerStations","Electricity & Heat: Supplied",356,
"highcharts-q5740kz-2412","Statistical Diff: Sec 2","Electricity & Heat: Supplied",1,"#121212"
"highcharts-q5740kz-2413","Other Electricity & Heat 3","Electricity & Heat: Supplied",15,
"highcharts-q5740kz-2414","Oil: Supplied","Oil: Final Consumption",3138,
"highcharts-q5740kz-2415","Oil: Supplied","Bunkers",399,
"highcharts-q5740kz-2416","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",325,
"highcharts-q5740kz-2417","BioFuels: Supplied","BioFuels: Final Consumption",3220,
"highcharts-q5740kz-2418","Electricity & Heat: Supplied","Losses",47,"#808080"
"highcharts-q5740kz-2419","PowerStations","Transformation Losses",690,"#808080"
"highcharts-q5740kz-2420","Oil: Final Consumption","Transport",2595,
"highcharts-q5740kz-2421","Oil: Final Consumption","Manufacturing",259,
"highcharts-q5740kz-2422","Oil: Final Consumption","Households",13,
"highcharts-q5740kz-2423","Oil: Final Consumption","Agriculture",210,
"highcharts-q5740kz-2424","Oil: Final Consumption","Non-Energy use",61,
"highcharts-q5740kz-2425","Electricity & Heat: Final Consumption","Manufacturing",134,
"highcharts-q5740kz-2426","Electricity & Heat: Final Consumption","Households",58,
"highcharts-q5740kz-2427","Electricity & Heat: Final Consumption","Commerce",93,
"highcharts-q5740kz-2428","Electricity & Heat: Final Consumption","N.E.S",40,
"highcharts-q5740kz-2429","BioFuels: Final Consumption","Households",3220,
