"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-1978","Primary Oil: Production","Primary Oil",41156,
"highcharts-q5740kz-1979","Primary Oil: Imports","Primary Oil",55936,
"highcharts-q5740kz-1980","Oil Products: Imports","Oil Products",55810,
"highcharts-q5740kz-1981","Natural Gas: Primary Production","Natural Gas",100609,
"highcharts-q5740kz-1982","Electricity: Primary Production","Other Electricity & Heat",2995,
"highcharts-q5740kz-1983","Heat: Primary Production","Other Electricity & Heat",15192,
"highcharts-q5740kz-1984","BioFuels: Primary Production","BioFuels",68706,
"highcharts-q5740kz-1985","Primary Oil","Oil Refineries",53298,
"highcharts-q5740kz-1986","Primary Oil","Statistical Diff.",544,
"highcharts-q5740kz-1987","Natural Gas","Statistical Diff.",1,
"highcharts-q5740kz-1988","Primary Oil","Stock Build",2093,
"highcharts-q5740kz-1989","BioFuels","Other Transformation",251,
"highcharts-q5740kz-1990","Primary Oil","Oil: Supplied",1,
"highcharts-q5740kz-1991","Oil Refineries","Oil: Supplied",50660,
"highcharts-q5740kz-1992","Oil Products","Oil: Supplied",55810,
"highcharts-q5740kz-1993","Statistical Diff: Sec 2","Oil: Supplied",84,"#121212"
"highcharts-q5740kz-1994","Natural Gas","Natural Gas: Supplied",14168,
"highcharts-q5740kz-1995","Other Electricity & Heat","Other Electricity & Heat 3",2995,
"highcharts-q5740kz-1996","BioFuels","BioFuels: Supplied",68455,
"highcharts-q5740kz-1997","Oil: Supplied","PowerStations",33871,
"highcharts-q5740kz-1998","Natural Gas: Supplied","PowerStations",6029,
"highcharts-q5740kz-1999","Other Electricity & Heat 3","PowerStations",15192,
"highcharts-q5740kz-2000","BioFuels: Supplied","PowerStations",84,
"highcharts-q5740kz-2001","PowerStations","Electricity & Heat: Supplied",28861,
"highcharts-q5740kz-2002","Other Electricity & Heat 3","Electricity & Heat: Supplied",2995,
"highcharts-q5740kz-2003","Oil: Supplied","Oil: Final Consumption",53308,
"highcharts-q5740kz-2004","Oil: Supplied","Bunkers",2893,
"highcharts-q5740kz-2005","Natural Gas: Supplied","Own Use",8139,
"highcharts-q5740kz-2006","Electricity & Heat: Supplied","Own Use",210,
"highcharts-q5740kz-2007","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",15407,
"highcharts-q5740kz-2008","BioFuels: Supplied","BioFuels: Final Consumption",68370,
"highcharts-q5740kz-2009","Oil: Supplied","Stock Changes: Sec",333,
"highcharts-q5740kz-2010","Oil: Supplied","Statistical Diff: Secondary",239,
"highcharts-q5740kz-2011","Oil: Supplied","Exports: Secondary",15910,
"highcharts-q5740kz-2012","Exports","Export 6",127596,
"highcharts-q5740kz-2013","Primary Oil","Exports",41156,
"highcharts-q5740kz-2014","Natural Gas","Exports",86440,
"highcharts-q5740kz-2015","Electricity & Heat: Supplied","Losses",1047,"#808080"
"highcharts-q5740kz-2016","PowerStations","Transformation Losses",41507,"#808080"
"highcharts-q5740kz-2017","Oil: Final Consumption","Transport",22772,
"highcharts-q5740kz-2018","Oil: Final Consumption","Manufacturing",23865,
"highcharts-q5740kz-2019","Oil: Final Consumption","Households",1434,
"highcharts-q5740kz-2020","Oil: Final Consumption","Agriculture",4270,
"highcharts-q5740kz-2021","Oil: Final Consumption","Commerce",966,
"highcharts-q5740kz-2022","Electricity & Heat: Final Consumption","Manufacturing",11304,
"highcharts-q5740kz-2023","Electricity & Heat: Final Consumption","Households",3488,
"highcharts-q5740kz-2024","Electricity & Heat: Final Consumption","Agriculture",246,
"highcharts-q5740kz-2025","Electricity & Heat: Final Consumption","Commerce",369,
"highcharts-q5740kz-2026","BioFuels: Final Consumption","Manufacturing",2847,
"highcharts-q5740kz-2027","BioFuels: Final Consumption","Households",55684,
"highcharts-q5740kz-2028","BioFuels: Final Consumption","Commerce",9839,
