"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2521","Oil Products: Imports","Oil Products",2083,
"highcharts-q5740kz-2522","Electricity: Primary Production","Other Electricity & Heat",15,
"highcharts-q5740kz-2523","BioFuels: Primary Production","BioFuels",19,
"highcharts-q5740kz-2524","BioFuels: Imports","BioFuels",1,
"highcharts-q5740kz-2525","BioFuels","Other Transformation",6,
"highcharts-q5740kz-2526","Oil Products","Oil: Supplied",2083,
"highcharts-q5740kz-2527","Other Electricity & Heat","Other Electricity & Heat 3",15,
"highcharts-q5740kz-2528","BioFuels","BioFuels: Supplied",14,
"highcharts-q5740kz-2529","Oil: Supplied","PowerStations",594,
"highcharts-q5740kz-2530","PowerStations","Electricity & Heat: Supplied",221,
"highcharts-q5740kz-2531","Other Electricity & Heat 3","Electricity & Heat: Supplied",15,
"highcharts-q5740kz-2532","Oil: Supplied","Oil: Final Consumption",1269,
"highcharts-q5740kz-2533","Oil: Supplied","Bunkers",179,
"highcharts-q5740kz-2534","Electricity & Heat: Supplied","Own Use",7,
"highcharts-q5740kz-2535","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",208,
"highcharts-q5740kz-2536","BioFuels: Supplied","BioFuels: Final Consumption",13,
"highcharts-q5740kz-2537","Oil: Supplied","Stock Changes: Sec",40,
"highcharts-q5740kz-2538","Electricity & Heat: Supplied","Losses",21,"#808080"
"highcharts-q5740kz-2539","PowerStations","Transformation Losses",372,"#808080"
"highcharts-q5740kz-2540","Oil: Final Consumption","Transport",1149,
"highcharts-q5740kz-2541","Oil: Final Consumption","Households",108,
"highcharts-q5740kz-2542","Oil: Final Consumption","Non-Energy use",12,
"highcharts-q5740kz-2543","Electricity & Heat: Final Consumption","Households",76,
"highcharts-q5740kz-2544","Electricity & Heat: Final Consumption","Commerce",69,
"highcharts-q5740kz-2545","Electricity & Heat: Final Consumption","N.E.S",64,
"highcharts-q5740kz-2546","BioFuels: Final Consumption","Households",13,
