"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2777","Oil Products: Imports","Oil Products",3078,
"highcharts-q5740kz-2778","Electricity: Primary Production","Other Electricity & Heat",62,
"highcharts-q5740kz-2779","BioFuels: Primary Production","BioFuels",837,
"highcharts-q5740kz-2780","BioFuels","Other Transformation",16,
"highcharts-q5740kz-2781","Oil Products","Oil: Supplied",3078,
"highcharts-q5740kz-2782","Other Electricity & Heat","Other Electricity & Heat 3",62,
"highcharts-q5740kz-2783","BioFuels","BioFuels: Supplied",821,
"highcharts-q5740kz-2784","Oil: Supplied","PowerStations",609,
"highcharts-q5740kz-2785","BioFuels: Supplied","PowerStations",5,
"highcharts-q5740kz-2786","PowerStations","Electricity & Heat: Supplied",228,
"highcharts-q5740kz-2787","Other Electricity & Heat 3","Electricity & Heat: Supplied",62,
"highcharts-q5740kz-2788","Oil: Supplied","Oil: Final Consumption",1929,
"highcharts-q5740kz-2789","Oil: Supplied","Bunkers",541,
"highcharts-q5740kz-2790","Electricity & Heat: Supplied","Own Use",8,
"highcharts-q5740kz-2791","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",259,
"highcharts-q5740kz-2792","BioFuels: Supplied","BioFuels: Final Consumption",815,
"highcharts-q5740kz-2793","Electricity & Heat: Supplied","Losses",22,"#808080"
"highcharts-q5740kz-2794","PowerStations","Transformation Losses",387,"#808080"
"highcharts-q5740kz-2795","Oil: Final Consumption","Transport",1778,
"highcharts-q5740kz-2796","Oil: Final Consumption","Households",62,
"highcharts-q5740kz-2797","Oil: Final Consumption","Non-Energy use",88,
"highcharts-q5740kz-2798","Electricity & Heat: Final Consumption","Manufacturing",98,
"highcharts-q5740kz-2799","Electricity & Heat: Final Consumption","Households",91,
"highcharts-q5740kz-2800","Electricity & Heat: Final Consumption","Commerce",66,
"highcharts-q5740kz-2801","Electricity & Heat: Final Consumption","N.E.S",5,
"highcharts-q5740kz-2802","BioFuels: Final Consumption","Households",815,
