"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-714","Oil Products: Imports","Oil Products",12758,
"highcharts-q5740kz-715","Electricity: Primary Production","Other Electricity & Heat",724,
"highcharts-q5740kz-716","Heat: Primary Production","Other Electricity & Heat",78,
"highcharts-q5740kz-717","BioFuels: Primary Production","BioFuels",42,
"highcharts-q5740kz-718","BioFuels: Imports","BioFuels",7,
"highcharts-q5740kz-719","BioFuels","Other Transformation",14,
"highcharts-q5740kz-720","Oil Products","Oil: Supplied",12758,
"highcharts-q5740kz-721","Other Electricity & Heat","Other Electricity & Heat 3",802,
"highcharts-q5740kz-722","BioFuels","BioFuels: Supplied",35,
"highcharts-q5740kz-723","Oil: Supplied","PowerStations",4344,
"highcharts-q5740kz-724","PowerStations","Electricity & Heat: Supplied",1712,
"highcharts-q5740kz-725","Other Electricity & Heat 3","Electricity & Heat: Supplied",802,
"highcharts-q5740kz-726","Oil: Supplied","Oil: Final Consumption",7978,
"highcharts-q5740kz-727","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",2360,
"highcharts-q5740kz-728","BioFuels: Supplied","BioFuels: Final Consumption",36,
"highcharts-q5740kz-729","Oil: Supplied","Stock Changes: Sec",435,
"highcharts-q5740kz-730","Electricity & Heat: Supplied","Losses",153,"#808080"
"highcharts-q5740kz-731","PowerStations","Transformation Losses",2632,"#808080"
"highcharts-q5740kz-732","Oil: Final Consumption","Transport",6868,
"highcharts-q5740kz-733","Oil: Final Consumption","Households",564,
"highcharts-q5740kz-734","Oil: Final Consumption","Agriculture",435,
"highcharts-q5740kz-735","Oil: Final Consumption","Non-Energy use",112,
"highcharts-q5740kz-736","Electricity & Heat: Final Consumption","Households",1333,
"highcharts-q5740kz-737","Electricity & Heat: Final Consumption","Commerce",1027,
"highcharts-q5740kz-738","BioFuels: Final Consumption","Households",36,
