"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-605","Oil Products: Imports","Oil Products",38940,
"highcharts-q5740kz-606","Electricity: Primary Production","Other Electricity & Heat",2094,
"highcharts-q5740kz-607","BioFuels: Primary Production","BioFuels",4361,
"highcharts-q5740kz-608","BioFuels: Imports","BioFuels",1,
"highcharts-q5740kz-609","BioFuels","Other Transformation",63,
"highcharts-q5740kz-610","Oil Products","Oil: Supplied",38940,
"highcharts-q5740kz-611","Other Electricity & Heat","Other Electricity & Heat 3",2094,
"highcharts-q5740kz-612","BioFuels","BioFuels: Supplied",4299,
"highcharts-q5740kz-613","Oil: Supplied","PowerStations",3961,
"highcharts-q5740kz-614","BioFuels: Supplied","PowerStations",404,
"highcharts-q5740kz-615","PowerStations","Electricity & Heat: Supplied",1669,
"highcharts-q5740kz-616","Other Electricity & Heat 3","Electricity & Heat: Supplied",2094,
"highcharts-q5740kz-617","Oil: Supplied","Oil: Final Consumption",15458,
"highcharts-q5740kz-618","Oil: Supplied","Bunkers",4127,
"highcharts-q5740kz-619","Electricity & Heat: Supplied","Own Use",44,
"highcharts-q5740kz-620","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",3330,
"highcharts-q5740kz-621","BioFuels: Supplied","BioFuels: Final Consumption",3894,
"highcharts-q5740kz-622","Oil: Supplied","Stock Changes: Sec",1102,
"highcharts-q5740kz-623","Electricity & Heat: Supplied","Statistical Diff: Secondary",1,
"highcharts-q5740kz-624","Oil: Supplied","Statistical Diff: Secondary",7,
"highcharts-q5740kz-625","Oil: Supplied","Exports: Secondary",14285,
"highcharts-q5740kz-626","Electricity & Heat: Supplied","Losses",389,"#808080"
"highcharts-q5740kz-627","PowerStations","Transformation Losses",2696,"#808080"
"highcharts-q5740kz-628","Oil: Final Consumption","Transport",10178,
"highcharts-q5740kz-629","Oil: Final Consumption","Manufacturing",3368,
"highcharts-q5740kz-630","Oil: Final Consumption","Households",1394,
"highcharts-q5740kz-631","Oil: Final Consumption","Commerce",95,
"highcharts-q5740kz-632","Oil: Final Consumption","N.E.S",142,
"highcharts-q5740kz-633","Oil: Final Consumption","Non-Energy use",281,
"highcharts-q5740kz-634","Electricity & Heat: Final Consumption","Manufacturing",814,
"highcharts-q5740kz-635","Electricity & Heat: Final Consumption","Households",936,
"highcharts-q5740kz-636","Electricity & Heat: Final Consumption","Commerce",1530,
"highcharts-q5740kz-637","Electricity & Heat: Final Consumption","N.E.S",50,
"highcharts-q5740kz-638","BioFuels: Final Consumption","Manufacturing",3637,
"highcharts-q5740kz-639","BioFuels: Final Consumption","Households",257,
