"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2369","Oil Products: Imports","Oil Products",4622,
"highcharts-q5740kz-2370","Electricity: Primary Production","Other Electricity & Heat",14,
"highcharts-q5740kz-2371","BioFuels: Primary Production","BioFuels",3305,
"highcharts-q5740kz-2372","BioFuels","Other Transformation",38,
"highcharts-q5740kz-2373","Oil Products","Oil: Supplied",4622,
"highcharts-q5740kz-2374","Other Electricity & Heat","Other Electricity & Heat 3",14,
"highcharts-q5740kz-2375","BioFuels","BioFuels: Supplied",3267,
"highcharts-q5740kz-2376","Oil: Supplied","PowerStations",1015,
"highcharts-q5740kz-2377","BioFuels: Supplied","PowerStations",35,
"highcharts-q5740kz-2378","PowerStations","Electricity & Heat: Supplied",360,
"highcharts-q5740kz-2379","Other Electricity & Heat 3","Electricity & Heat: Supplied",14,
"highcharts-q5740kz-2380","Oil: Supplied","Oil: Final Consumption",3199,
"highcharts-q5740kz-2381","Oil: Supplied","Bunkers",405,
"highcharts-q5740kz-2382","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",315,
"highcharts-q5740kz-2383","BioFuels: Supplied","BioFuels: Final Consumption",3232,
"highcharts-q5740kz-2384","Electricity & Heat: Supplied","Statistical Diff: Secondary",1,
"highcharts-q5740kz-2385","Oil: Supplied","Statistical Diff: Secondary",2,
"highcharts-q5740kz-2386","Electricity & Heat: Supplied","Losses",58,"#808080"
"highcharts-q5740kz-2387","PowerStations","Transformation Losses",690,"#808080"
"highcharts-q5740kz-2388","Oil: Final Consumption","Transport",2645,
"highcharts-q5740kz-2389","Oil: Final Consumption","Manufacturing",264,
"highcharts-q5740kz-2390","Oil: Final Consumption","Households",13,
"highcharts-q5740kz-2391","Oil: Final Consumption","Agriculture",214,
"highcharts-q5740kz-2392","Oil: Final Consumption","Non-Energy use",62,
"highcharts-q5740kz-2393","Electricity & Heat: Final Consumption","Manufacturing",140,
"highcharts-q5740kz-2394","Electricity & Heat: Final Consumption","Households",60,
"highcharts-q5740kz-2395","Electricity & Heat: Final Consumption","Commerce",76,
"highcharts-q5740kz-2396","Electricity & Heat: Final Consumption","N.E.S",38,
"highcharts-q5740kz-2397","BioFuels: Final Consumption","Households",3232,
