"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-1392","Oil Products: Imports","Oil Products",39920,
"highcharts-q5740kz-1393","Coal: Imports","Coal",29168,
"highcharts-q5740kz-1394","Electricity: Primary Production","Other Electricity & Heat",1472,
"highcharts-q5740kz-1395","Heat: Primary Production","Other Electricity & Heat",141,
"highcharts-q5740kz-1396","BioFuels: Primary Production","BioFuels",123,
"highcharts-q5740kz-1397","BioFuels: Imports","BioFuels",1,
"highcharts-q5740kz-1398","Coal","Stock Build",1578,
"highcharts-q5740kz-1399","BioFuels","Other Transformation",16,
"highcharts-q5740kz-1400","Oil Products","Oil: Supplied",39920,
"highcharts-q5740kz-1401","Stock Changes: Sec 2","Oil: Supplied",508,"#121212"
"highcharts-q5740kz-1402","Statistical Diff: Sec 2","Oil: Supplied",506,"#121212"
"highcharts-q5740kz-1403","Coal","Coal: Supplied",27590,
"highcharts-q5740kz-1404","Other Electricity & Heat","Other Electricity & Heat 3",1613,
"highcharts-q5740kz-1405","BioFuels","BioFuels: Supplied",108,
"highcharts-q5740kz-1406","Oil: Supplied","PowerStations",19956,
"highcharts-q5740kz-1407","Coal: Supplied","PowerStations",16989,
"highcharts-q5740kz-1408","BioFuels: Supplied","PowerStations",5,
"highcharts-q5740kz-1409","PowerStations","Electricity & Heat: Supplied",11077,
"highcharts-q5740kz-1410","Statistical Diff: Sec 2","Electricity & Heat: Supplied",335,"#121212"
"highcharts-q5740kz-1411","Other Electricity & Heat 3","Electricity & Heat: Supplied",1613,
"highcharts-q5740kz-1412","Oil: Supplied","Oil: Final Consumption",19293,
"highcharts-q5740kz-1413","Oil: Supplied","Bunkers",1685,
"highcharts-q5740kz-1414","Electricity & Heat: Supplied","Own Use",3,
"highcharts-q5740kz-1415","Coal: Supplied","Coal: Final Consumption",10456,
"highcharts-q5740kz-1416","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",12787,
"highcharts-q5740kz-1417","BioFuels: Supplied","BioFuels: Final Consumption",102,
"highcharts-q5740kz-1418","Electricity & Heat: Supplied","Losses",235,"#808080"
"highcharts-q5740kz-1419","PowerStations","Transformation Losses",25874,"#808080"
"highcharts-q5740kz-1420","Oil: Final Consumption","Transport",9102,
"highcharts-q5740kz-1421","Oil: Final Consumption","Manufacturing",9180,
"highcharts-q5740kz-1422","Oil: Final Consumption","Households",372,
"highcharts-q5740kz-1423","Oil: Final Consumption","Agriculture",228,
"highcharts-q5740kz-1424","Oil: Final Consumption","Commerce",146,
"highcharts-q5740kz-1425","Oil: Final Consumption","Non-Energy use",265,
"highcharts-q5740kz-1426","Coal: Final Consumption","Manufacturing",4346,
"highcharts-q5740kz-1427","Coal: Final Consumption","Non-Energy use",6110,
"highcharts-q5740kz-1428","Electricity & Heat: Final Consumption","Manufacturing",9860,
"highcharts-q5740kz-1429","Electricity & Heat: Final Consumption","Households",1071,
"highcharts-q5740kz-1430","Electricity & Heat: Final Consumption","Commerce",1856,
"highcharts-q5740kz-1431","BioFuels: Final Consumption","Households",102,
