"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2195","Oil Products: Imports","Oil Products",4129,
"highcharts-q5740kz-2196","Electricity: Primary Production","Other Electricity & Heat",231,
"highcharts-q5740kz-2197","Heat: Primary Production","Other Electricity & Heat",3,
"highcharts-q5740kz-2198","BioFuels: Primary Production","BioFuels",1466,
"highcharts-q5740kz-2199","Statistical Diff","BioFuels",1,"#66D066"
"highcharts-q5740kz-2200","BioFuels","Other Transformation",14,
"highcharts-q5740kz-2201","Oil Products","Oil: Supplied",4129,
"highcharts-q5740kz-2202","Statistical Diff: Sec 2","Oil: Supplied",4,"#121212"
"highcharts-q5740kz-2203","Other Electricity & Heat","Other Electricity & Heat 3",234,
"highcharts-q5740kz-2204","BioFuels","BioFuels: Supplied",1453,
"highcharts-q5740kz-2205","Oil: Supplied","PowerStations",843,
"highcharts-q5740kz-2206","PowerStations","Electricity & Heat: Supplied",322,
"highcharts-q5740kz-2207","Statistical Diff: Sec 2","Electricity & Heat: Supplied",1,"#121212"
"highcharts-q5740kz-2208","Other Electricity & Heat 3","Electricity & Heat: Supplied",234,
"highcharts-q5740kz-2209","Oil: Supplied","Oil: Final Consumption",2708,
"highcharts-q5740kz-2210","Oil: Supplied","Bunkers",532,
"highcharts-q5740kz-2211","Electricity & Heat: Supplied","Own Use",2,
"highcharts-q5740kz-2212","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",501,
"highcharts-q5740kz-2213","BioFuels: Supplied","BioFuels: Final Consumption",1453,
"highcharts-q5740kz-2214","Oil: Supplied","Stock Changes: Sec",21,
"highcharts-q5740kz-2215","Oil: Supplied","Exports: Secondary",29,
"highcharts-q5740kz-2216","Electricity & Heat: Supplied","Losses",54,"#808080"
"highcharts-q5740kz-2217","PowerStations","Transformation Losses",521,"#808080"
"highcharts-q5740kz-2218","Oil: Final Consumption","Transport",2014,
"highcharts-q5740kz-2219","Oil: Final Consumption","Manufacturing",215,
"highcharts-q5740kz-2220","Oil: Final Consumption","Households",145,
"highcharts-q5740kz-2221","Oil: Final Consumption","Agriculture",35,
"highcharts-q5740kz-2222","Oil: Final Consumption","Commerce",178,
"highcharts-q5740kz-2223","Oil: Final Consumption","Non-Energy use",121,
"highcharts-q5740kz-2224","Electricity & Heat: Final Consumption","Manufacturing",35,
"highcharts-q5740kz-2225","Electricity & Heat: Final Consumption","Households",165,
"highcharts-q5740kz-2226","Electricity & Heat: Final Consumption","Commerce",301,
"highcharts-q5740kz-2227","BioFuels: Final Consumption","Households",1448,
"highcharts-q5740kz-2228","BioFuels: Final Consumption","Agriculture",5,
