"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-407","Oil Products: Imports","Oil Products",1528,
"highcharts-q5740kz-408","Electricity: Primary Production","Other Electricity & Heat",38,
"highcharts-q5740kz-409","Oil Products","Oil: Supplied",1528,
"highcharts-q5740kz-410","Other Electricity & Heat","Other Electricity & Heat 3",38,
"highcharts-q5740kz-411","Oil: Supplied","PowerStations",348,
"highcharts-q5740kz-412","PowerStations","Electricity & Heat: Supplied",111,
"highcharts-q5740kz-413","Other Electricity & Heat 3","Electricity & Heat: Supplied",38,
"highcharts-q5740kz-414","Oil: Supplied","Oil: Final Consumption",784,
"highcharts-q5740kz-415","Oil: Supplied","Bunkers",396,
"highcharts-q5740kz-416","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",149,
"highcharts-q5740kz-417","PowerStations","Transformation Losses",237,"#808080"
"highcharts-q5740kz-418","Oil: Final Consumption","Transport",784,
"highcharts-q5740kz-419","Electricity & Heat: Final Consumption","N.E.S",149,
