"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-1045","Oil Products: Imports","Oil Products",2566,
"highcharts-q5740kz-1046","Electricity: Primary Production","Other Electricity & Heat",14,
"highcharts-q5740kz-1047","BioFuels: Primary Production","BioFuels",24,
"highcharts-q5740kz-1048","BioFuels","Other Transformation",10,
"highcharts-q5740kz-1049","Oil Products","Oil: Supplied",2566,
"highcharts-q5740kz-1050","Other Electricity & Heat","Other Electricity & Heat 3",14,
"highcharts-q5740kz-1051","BioFuels","BioFuels: Supplied",14,
"highcharts-q5740kz-1052","Oil: Supplied","PowerStations",830,
"highcharts-q5740kz-1053","PowerStations","Electricity & Heat: Supplied",233,
"highcharts-q5740kz-1054","Other Electricity & Heat 3","Electricity & Heat: Supplied",14,
"highcharts-q5740kz-1055","Oil: Supplied","Oil: Final Consumption",1302,
"highcharts-q5740kz-1056","Oil: Supplied","Bunkers",434,
"highcharts-q5740kz-1057","Electricity & Heat: Supplied","Own Use",8,
"highcharts-q5740kz-1058","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",165,
"highcharts-q5740kz-1059","BioFuels: Supplied","BioFuels: Final Consumption",15,
"highcharts-q5740kz-1060","Electricity & Heat: Supplied","Losses",74,"#808080"
"highcharts-q5740kz-1061","PowerStations","Transformation Losses",597,"#808080"
"highcharts-q5740kz-1062","Oil: Final Consumption","Transport",1165,
"highcharts-q5740kz-1063","Oil: Final Consumption","N.E.S",45,
"highcharts-q5740kz-1064","Oil: Final Consumption","Non-Energy use",92,
"highcharts-q5740kz-1065","Electricity & Heat: Final Consumption","Manufacturing",53,
"highcharts-q5740kz-1066","Electricity & Heat: Final Consumption","Households",60,
"highcharts-q5740kz-1067","Electricity & Heat: Final Consumption","Commerce",52,
"highcharts-q5740kz-1068","BioFuels: Final Consumption","Households",4,
"highcharts-q5740kz-1069","BioFuels: Final Consumption","N.E.S",11,
