"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-1565","Oil Products: Imports","Oil Products",107,
"highcharts-q5740kz-1566","Electricity: Primary Production","Other Electricity & Heat",2,
"highcharts-q5740kz-1567","Heat: Primary Production","Other Electricity & Heat",16,
"highcharts-q5740kz-1568","BioFuels: Primary Production","BioFuels",1,
"highcharts-q5740kz-1569","Oil Products","Oil: Supplied",107,
"highcharts-q5740kz-1570","Other Electricity & Heat","Other Electricity & Heat 3",18,
"highcharts-q5740kz-1571","BioFuels","BioFuels: Supplied",1,
"highcharts-q5740kz-1572","Oil: Supplied","PowerStations",34,
"highcharts-q5740kz-1573","PowerStations","Electricity & Heat: Supplied",12,
"highcharts-q5740kz-1574","Other Electricity & Heat 3","Electricity & Heat: Supplied",18,
"highcharts-q5740kz-1575","Oil: Supplied","Oil: Final Consumption",48,
"highcharts-q5740kz-1576","Oil: Supplied","Bunkers",21,
"highcharts-q5740kz-1577","Electricity & Heat: Supplied","Own Use",1,
"highcharts-q5740kz-1578","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",28,
"highcharts-q5740kz-1579","Oil: Supplied","Statistical Diff: Secondary",3,
"highcharts-q5740kz-1580","Electricity & Heat: Supplied","Losses",1,"#808080"
"highcharts-q5740kz-1581","PowerStations","Transformation Losses",22,"#808080"
"highcharts-q5740kz-1582","Oil: Final Consumption","Transport",42,
"highcharts-q5740kz-1583","Oil: Final Consumption","Manufacturing",2,
"highcharts-q5740kz-1584","Oil: Final Consumption","Households",2,
"highcharts-q5740kz-1585","Oil: Final Consumption","Agriculture",1,
"highcharts-q5740kz-1586","Oil: Final Consumption","Commerce",1,
"highcharts-q5740kz-1587","Electricity & Heat: Final Consumption","Manufacturing",3,
"highcharts-q5740kz-1588","Electricity & Heat: Final Consumption","Households",20,
"highcharts-q5740kz-1589","Electricity & Heat: Final Consumption","Commerce",5,
