"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-1716","Oil Products: Imports","Oil Products",3537,
"highcharts-q5740kz-1717","Electricity: Primary Production","Other Electricity & Heat",7,
"highcharts-q5740kz-1718","Oil Products","Oil: Supplied",3537,
"highcharts-q5740kz-1719","Other Electricity & Heat","Other Electricity & Heat 3",7,
"highcharts-q5740kz-1720","Oil: Supplied","PowerStations",1053,
"highcharts-q5740kz-1721","PowerStations","Electricity & Heat: Supplied",340,
"highcharts-q5740kz-1722","Other Electricity & Heat 3","Electricity & Heat: Supplied",7,
"highcharts-q5740kz-1723","Oil: Supplied","Oil: Final Consumption",1910,
"highcharts-q5740kz-1724","Oil: Supplied","Bunkers",573,
"highcharts-q5740kz-1725","Electricity & Heat: Supplied","Own Use",18,
"highcharts-q5740kz-1726","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",288,
"highcharts-q5740kz-1727","Electricity & Heat: Supplied","Statistical Diff: Secondary",2,
"highcharts-q5740kz-1728","Electricity & Heat: Supplied","Losses",40,"#808080"
"highcharts-q5740kz-1729","PowerStations","Transformation Losses",713,"#808080"
"highcharts-q5740kz-1730","Oil: Final Consumption","Transport",1778,
"highcharts-q5740kz-1731","Oil: Final Consumption","Households",92,
"highcharts-q5740kz-1732","Oil: Final Consumption","Non-Energy use",40,
"highcharts-q5740kz-1733","Electricity & Heat: Final Consumption","Manufacturing",22,
"highcharts-q5740kz-1734","Electricity & Heat: Final Consumption","Households",83,
"highcharts-q5740kz-1735","Electricity & Heat: Final Consumption","Commerce",158,
"highcharts-q5740kz-1736","Electricity & Heat: Final Consumption","N.E.S",25,
