"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-u81slsh-3446","Oil Products: Imports","Oil Products",4555,
"highcharts-u81slsh-3447","Electricity: Primary Production","Other Electricity & Heat",16,
"highcharts-u81slsh-3448","BioFuels: Primary Production","BioFuels",3335,
"highcharts-u81slsh-3449","BioFuels: Imports","BioFuels",1,
"highcharts-u81slsh-3450","BioFuels","Other Transformation",39,
"highcharts-u81slsh-3451","Oil Products","Oil: Supplied",4555,
"highcharts-u81slsh-3452","Other Electricity & Heat","Other Electricity & Heat 3",16,
"highcharts-u81slsh-3453","BioFuels","BioFuels: Supplied",3297,
"highcharts-u81slsh-3454","Oil: Supplied","PowerStations",1026,
"highcharts-u81slsh-3455","BioFuels: Supplied","PowerStations",37,
"highcharts-u81slsh-3456","PowerStations","Electricity & Heat: Supplied",368,
"highcharts-u81slsh-3457","Other Electricity & Heat 3","Electricity & Heat: Supplied",16,
"highcharts-u81slsh-3458","Oil: Supplied","Oil: Final Consumption",3184,
"highcharts-u81slsh-3459","Oil: Supplied","Bunkers",346,
"highcharts-u81slsh-3460","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",317,
"highcharts-u81slsh-3461","BioFuels: Supplied","BioFuels: Final Consumption",3260,
"highcharts-u81slsh-3462","Electricity & Heat: Supplied","Statistical Diff: Secondary",1,
"highcharts-u81slsh-3463","Electricity & Heat: Supplied","Losses",65,"#808080"
"highcharts-u81slsh-3464","PowerStations","Transformation Losses",695,"#808080"
"highcharts-u81slsh-3465","Oil: Final Consumption","Transport",2625,
"highcharts-u81slsh-3466","Oil: Final Consumption","Manufacturing",267,
"highcharts-u81slsh-3467","Oil: Final Consumption","Households",14,
"highcharts-u81slsh-3468","Oil: Final Consumption","Agriculture",215,
"highcharts-u81slsh-3469","Oil: Final Consumption","Non-Energy use",64,
"highcharts-u81slsh-3470","Electricity & Heat: Final Consumption","Manufacturing",145,
"highcharts-u81slsh-3471","Electricity & Heat: Final Consumption","Households",62,
"highcharts-u81slsh-3472","Electricity & Heat: Final Consumption","Commerce",74,
"highcharts-u81slsh-3473","Electricity & Heat: Final Consumption","N.E.S",36,
"highcharts-u81slsh-3474","BioFuels: Final Consumption","Households",3260,
