"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-u81slsh-2965","Oil Products: Imports","Oil Products",23121,
"highcharts-u81slsh-2966","Electricity: Primary Production","Other Electricity & Heat",2059,
"highcharts-u81slsh-2967","BioFuels: Primary Production","BioFuels",4168,
"highcharts-u81slsh-2968","BioFuels: Imports","BioFuels",1,
"highcharts-u81slsh-2969","BioFuels","Other Transformation",63,
"highcharts-u81slsh-2970","Oil Products","Oil: Supplied",23121,
"highcharts-u81slsh-2971","Other Electricity & Heat","Other Electricity & Heat 3",2059,
"highcharts-u81slsh-2972","BioFuels","BioFuels: Supplied",4106,
"highcharts-u81slsh-2973","Oil: Supplied","PowerStations",3482,
"highcharts-u81slsh-2974","BioFuels: Supplied","PowerStations",443,
"highcharts-u81slsh-2975","PowerStations","Electricity & Heat: Supplied",1501,
"highcharts-u81slsh-2976","Other Electricity & Heat 3","Electricity & Heat: Supplied",2059,
"highcharts-u81slsh-2977","Oil: Supplied","Oil: Final Consumption",10884,
"highcharts-u81slsh-2978","Oil: Supplied","Bunkers",1434,
"highcharts-u81slsh-2979","Electricity & Heat: Supplied","Own Use",45,
"highcharts-u81slsh-2980","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",3146,
"highcharts-u81slsh-2981","BioFuels: Supplied","BioFuels: Final Consumption",3662,
"highcharts-u81slsh-2982","Electricity & Heat: Supplied","Statistical Diff: Secondary",1,
"highcharts-u81slsh-2983","Oil: Supplied","Exports: Secondary",7322,
"highcharts-u81slsh-2984","Electricity & Heat: Supplied","Losses",367,"#808080"
"highcharts-u81slsh-2985","PowerStations","Transformation Losses",2424,"#808080"
"highcharts-u81slsh-2986","Oil: Final Consumption","Transport",6926,
"highcharts-u81slsh-2987","Oil: Final Consumption","Manufacturing",2473,
"highcharts-u81slsh-2988","Oil: Final Consumption","Households",1148,
"highcharts-u81slsh-2989","Oil: Final Consumption","Commerce",95,
"highcharts-u81slsh-2990","Oil: Final Consumption","Non-Energy use",241,
"highcharts-u81slsh-2991","Electricity & Heat: Final Consumption","Manufacturing",698,
"highcharts-u81slsh-2992","Electricity & Heat: Final Consumption","Households",958,
"highcharts-u81slsh-2993","Electricity & Heat: Final Consumption","Commerce",1382,
"highcharts-u81slsh-2994","Electricity & Heat: Final Consumption","N.E.S",108,
"highcharts-u81slsh-2995","BioFuels: Final Consumption","Manufacturing",3405,
"highcharts-u81slsh-2996","BioFuels: Final Consumption","Households",257,
