Country (2020),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Palau,Primary production,---,---,---,---,---,---,---,*22,---,*22,*22
Palau,Imports,---,---,---,*3182,---,0,---,---,---,*3182,0
Palau,Exports,---,---,---,---,---,---,---,---,---,---,---
Palau,International marine bunkers,---,---,---,---,---,---,---,---,---,---,---
Palau,International aviation bunkers,---,---,---,*-265,---,---,---,---,---,*-265,---
Palau,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Palau,Total energy supply,---,---,---,*2917,---,0,---,*22,---,*2939,*22
Palau,Statistical differences,---,---,---,*-21,---,0,---,*0,---,*-21,*22
Palau,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Palau,Transformation,---,---,---,*-967,---,---,---,*331,---,*-636,---
Palau,Electricity  CHP & Heat Plants,---,---,---,*-967,---,---,---,*331,---,*-636,---
Palau,Electricity Plants,---,---,---,*-967,---,---,---,*331,---,*-636,---
Palau,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Palau,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Palau,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Palau,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Palau,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Palau,Gas works,---,---,---,---,---,---,---,---,---,---,---
Palau,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Palau,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Palau,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Palau,Other transformation,---,---,---,---,---,---,---,---,---,---,---
Palau,Energy industries own use,---,---,---,---,---,---,---,*-11,---,*-11,---
Palau,Losses,---,---,---,---,---,---,---,*-25,---,*-25,---
Palau,Final consumption,---,---,---,*1971,---,*0,---,*317,---,*2288,*0
Palau,Final Energy Consumption,---,---,---,*1931,---,*0,---,*317,---,*2248,*0
Palau,Manufacturing  const. and mining,---,---,---,---,---,---,---,*22,---,*22,---
Palau,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Palau,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Palau,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Palau,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Palau,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Palau,Machinery,---,---,---,---,---,---,---,---,---,---,---
Palau,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Palau,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Palau,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Palau,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Palau,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Palau,Construction,---,---,---,---,---,---,---,---,---,---,---
Palau,Industry n.e.s,---,---,---,---,---,---,---,*22,---,*22,---
Palau,Transport,---,---,---,*1843,---,---,---,---,---,*1843,---
Palau,Road,---,---,---,*587,---,---,---,---,---,*587,---
Palau,Rail,---,---,---,---,---,---,---,---,---,---,---
Palau,Domestic aviation,---,---,---,---,---,---,---,---,---,---,---
Palau,Domestic navigation,---,---,---,*1257,---,---,---,---,---,*1257,---
Palau,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Palau,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Palau,Other Consumption,---,---,---,*88,---,*0,---,*295,---,*383,*0
Palau,Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Palau,Commerce and public services,---,---,---,---,---,---,---,*158,---,*158,---
Palau,Households,---,---,---,*88,---,*0,---,*101,---,*189,*0
Palau,Other consumption n.e.s,---,---,---,---,---,---,---,*36,---,*36,---
Palau,Non-energy use,---,---,---,*40,---,---,---,---,---,*40,---
