Country (2020),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Tonga,Primary production,---,---,---,---,---,19,---,34,---,52,52
Tonga,Imports,---,---,---,1987,---,0,---,---,---,1987,0
Tonga,Exports,---,---,---,---,---,---,---,---,---,---,---
Tonga,International marine bunkers,---,---,---,*-8,---,---,---,---,---,*-8,---
Tonga,International aviation bunkers,---,---,---,-10,---,---,---,---,---,-10,---
Tonga,Stock changes,---,---,---,*638,---,---,---,---,---,*638,---
Tonga,Total energy supply,---,---,---,2607,---,19,---,34,---,2660,52
Tonga,Statistical differences,---,---,---,0,---,0,---,0,---,0,34
Tonga,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Tonga,Transformation,---,---,---,-610,---,-6,---,230,---,-387,-6
Tonga,Electricity  CHP & Heat Plants,---,---,---,-610,---,---,---,230,---,-380,---
Tonga,Electricity Plants,---,---,---,-610,---,---,---,230,---,-380,---
Tonga,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Tonga,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Tonga,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Tonga,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Tonga,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Tonga,Gas works,---,---,---,---,---,---,---,---,---,---,---
Tonga,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Tonga,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Tonga,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Tonga,Other transformation,---,---,---,---,---,-6,---,---,---,-6,-6
Tonga,Energy industries own use,---,---,---,---,---,---,---,-8,---,-8,---
Tonga,Losses,---,---,---,---,---,---,---,-21,---,-21,---
Tonga,Final consumption,---,---,---,1997,---,*12,---,*235,---,2244,*12
Tonga,Final Energy Consumption,---,---,---,1995,---,*12,---,*235,---,2242,*12
Tonga,Manufacturing  const. and mining,---,---,---,---,---,---,---,---,---,---,---
Tonga,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Tonga,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Tonga,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Tonga,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Tonga,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Tonga,Machinery,---,---,---,---,---,---,---,---,---,---,---
Tonga,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Tonga,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Tonga,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Tonga,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Tonga,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Tonga,Construction,---,---,---,---,---,---,---,---,---,---,---
Tonga,Industry n.e.s,---,---,---,---,---,---,---,---,---,---,---
Tonga,Transport,---,---,---,1875,---,---,---,---,---,1875,---
Tonga,Road,---,---,---,*790,---,---,---,---,---,*790,---
Tonga,Rail,---,---,---,---,---,---,---,---,---,---,---
Tonga,Domestic aviation,---,---,---,12,---,---,---,---,---,12,---
Tonga,Domestic navigation,---,---,---,---,---,---,---,---,---,---,---
Tonga,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Tonga,Transport n.e.s,---,---,---,1073,---,---,---,---,---,1073,---
Tonga,Other Consumption,---,---,---,121,---,*12,---,*235,---,*368,*12
Tonga,Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Tonga,Commerce and public services,---,---,---,---,---,---,---,*76,---,*76,---
Tonga,Households,---,---,---,121,---,*12,---,*86,---,219,*12
Tonga,Other consumption n.e.s,---,---,---,---,---,---,---,*73,---,*73,---
Tonga,Non-energy use,---,---,---,*2,---,---,---,---,---,*2,---
