,Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables,All Coal,All Oil,All Inputs
90,Nauru,Textile and leather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Nauru,Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Nauru,Industry n.e.s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
93,Nauru,Transport,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,211.0,211.0
94,Nauru,Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Nauru,Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Nauru,Domestic aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Nauru,Domestic navigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Nauru,Pipeline transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Nauru,Transport n.e.s,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,211.0,211.0
100,Nauru,Other Consumption,0.0,0.0,0.0,191.0,0.0,0.0,0.0,98.0,0.0,288.0,0.0,0.0,191.0,191.0
101,Nauru,Agriculture  forestry and fishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Nauru,Commerce and public services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0
103,Nauru,Households,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,50.0,0.0,0.0,1.0,1.0
104,Nauru,Other consumption n.e.s,0.0,0.0,0.0,190.0,0.0,0.0,0.0,3.0,0.0,193.0,0.0,0.0,190.0,190.0
105,Nauru,Non-energy use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Vanuatu,Primary production,0.0,0.0,0.0,0.0,0.0,859.0,0.0,62.0,0.0,920.0,920.0,0.0,0.0,859.0
107,Vanuatu,Imports,0.0,0.0,0.0,3259.0,0.0,0.0,0.0,0.0,0.0,3259.0,0.0,0.0,3259.0,3259.0
108,Vanuatu,Exports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Vanuatu,International marine bunkers,0.0,0.0,0.0,-259.0,0.0,0.0,0.0,0.0,0.0,-259.0,0.0,0.0,-259.0,-259.0
110,Vanuatu,International aviation bunkers,0.0,0.0,0.0,-463.0,0.0,0.0,0.0,0.0,0.0,-463.0,0.0,0.0,-463.0,-463.0
111,Vanuatu,Stock changes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Vanuatu,Total energy supply,0.0,0.0,0.0,2537.0,0.0,859.0,0.0,62.0,0.0,3458.0,920.0,0.0,2537.0,3396.0
113,Vanuatu,Statistical differences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0
114,Vanuatu,Transfers and recycled products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Vanuatu,Transformation,0.0,0.0,0.0,-666.0,0.0,-44.0,0.0,225.0,0.0,-486.0,-44.0,0.0,-666.0,-710.0
