Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
French Polynesia,Primary production,---,---,---,---,---,42,---,724,---,766,766
French Polynesia,Imports,---,---,---,12373,---,7,---,---,---,12380,7
French Polynesia,Exports,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,International marine bunkers,---,---,---,-680,---,---,---,---,---,-680,---
French Polynesia,International aviation bunkers,---,---,---,*-405,---,---,---,---,---,*-405,---
French Polynesia,Stock changes,---,---,---,*0,---,---,---,---,---,*0,---
French Polynesia,Total energy supply,---,---,---,11288,---,50,---,724,---,12062,774
French Polynesia,Statistical differences,---,---,---,0,---,0,---,40,---,40,724
French Polynesia,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Transformation,---,---,---,-4544,---,*-14,---,1780,---,-2777,*-14
French Polynesia,Electricity  CHP & Heat Plants,---,---,---,-4544,---,---,---,1780,---,-2764,---
French Polynesia,Electricity Plants,---,---,---,-4544,---,---,---,1780,---,-2764,---
French Polynesia,CHP plants,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Heat plants,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Gas works,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Other transformation,---,---,---,---,---,*-14,---,---,---,*-14,*-14
French Polynesia,Energy industries own use,---,---,---,---,---,---,---,-34,---,-34,---
French Polynesia,Losses,---,---,---,---,---,---,---,-239,---,-239,---
French Polynesia,Final consumption,---,---,---,6745,---,*36,---,*2190,---,8971,*36
French Polynesia,Final Energy Consumption,---,---,---,6633,---,*36,---,*2190,---,8859,*36
French Polynesia,Manufacturing  const. and mining,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Machinery,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Construction,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Industry n.e.s,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Transport,---,---,---,5647,---,---,---,---,---,5647,---
French Polynesia,Road,---,---,---,2325,---,---,---,---,---,2325,---
French Polynesia,Rail,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Domestic aviation,---,---,---,*179,---,---,---,---,---,*179,---
French Polynesia,Domestic navigation,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Transport n.e.s,---,---,---,3143,---,---,---,---,---,3143,---
French Polynesia,Other Consumption,---,---,---,986,---,*36,---,*2190,---,*3212,*36
French Polynesia,Agriculture  forestry and fishing,---,---,---,435,---,---,---,---,---,435,---
French Polynesia,Commerce and public services,---,---,---,---,---,---,---,*986,---,*986,---
French Polynesia,Households,---,---,---,551,---,*36,---,*1205,---,*1791,*36
French Polynesia,Other consumption n.e.s,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Non-energy use,---,---,---,*112,---,---,---,---,---,*112,---
